FieldName	TableName
ID	INLFED
Description	INLFED
customer_id	Customer
customer_id	Sales
cust_first_name	Customer
cust_last_name	Customer
cust_email	Customer
cust_username	Customer
cust_birthday	Customer
cust_streetname	Customer
cust_streetnumber	Customer
cust_city	Customer
cust_postalcode	Customer
cust_country	Customer
cust_latitude	Customer
cust_longitude	Customer
rep_id	Salesrep
rep_id	Sales
rep_first_name	Salesrep
rep_last_name	Salesrep
rep_username	Salesrep
product_id	Product
product_id	Sales
product_name	Product
product_family	Product
product_manufacturer	Product
product_price	Product
sales_date	Sales
sales_date	Calendar
invoice_no	Sales
invoice_currency	Sales
item_count	Sales
sales_amount	Sales
Week	Calendar
Month	Calendar
YearMonth	Calendar
Quarter	Calendar
Year	Calendar
